+028.96 ; +050.12 ; * ; r 
+059.77 ; +036.99 ; * ; r 
+044.35 ; +041.72 ; * ; r 
+064.98 ; +034.24 ; * ; r 
+012.96 ; +016.00 ; * ; r 
+008.15 ; +009.74 ; * ; r 
+006.76 ; +007.11 ; * ; r 
+010.13 ; +006.64 ; * ; r 
+004.55 ; +003.13 ; * ; r 
+065.63 ; +022.88 ; * ; r 
+062.88 ; +026.68 ; * ; r 
+075.56 ; +020.72 ; * ; r 
+079.13 ; +020.26 ; * ; r 
+079.39 ; +019.89 ; * ; r 
+079.56 ; +019.70 ; * ; r 
+067.13 ; +008.82 ; * ; r 
+068.00 ; +006.83 ; * ; r 
+159.30 ; +011.18 ; * ; r 
+044.45 ; -026.76 ; * ; r 
+057.04 ; -002.20 ; * ; r 
+093.94 ; -006.90 ; * ; r 
+093.79 ; -008.90 ; * ; r 
+124.95 ; -013.62 ; * ; r 
+128.35 ; -014.17 ; * ; r 
+128.61 ; -014.31 ; * ; r 
+128.46 ; -016.36 ; * ; r 
+137.06 ; -005.09 ; * ; r 
+137.52 ; -017.79 ; * ; r 
+047.24 ; -032.28 ; * ; r 
+030.41 ; -047.53 ; * ; r 
+012.67 ; -054.51 ; * ; r 
+019.46 ; -046.86 ; * ; r 
+018.51 ; -047.04 ; * ; r 
+034.72 ; -043.71 ; * ; r 
+033.89 ; -047.24 ; * ; r 
+033.99 ; -045.48 ; * ; r 
+009.09 ; +013.04 ; * ; r 
+028.48 ; -052.02 ; * ; r 
+015.22 ; -042.58 ; * ; r 
+002.01 ; -049.48 ; * ; r 
+004.16 ; -051.24 ; * ; r 
+003.90 ; -051.72 ; * ; r 
+002.14 ; -056.14 ; * ; r 
+011.33 ; -049.73 ; * ; r 
+000.04 ; -062.00 ; * ; r 
+000.49 ; -063.52 ; * ; r 
+004.24 ; -064.19 ; * ; r 
+010.48 ; -058.45 ; * ; r 
+008.75 ; -058.61 ; * ; r 
+007.90 ; -060.15 ; * ; r 
+017.66 ; -043.27 ; * ; r 
+019.34 ; -048.69 ; * ; r 
+018.17 ; -051.91 ; * ; r 
+017.58 ; -054.62 ; * ; r 
+016.88 ; -058.99 ; * ; r 
+014.59 ; -061.05 ; * ; r 
+016.89 ; -061.60 ; * ; r 
+020.81 ; -061.24 ; * ; r 
+023.63 ; -060.49 ; * ; r 
+023.90 ; -061.47 ; * ; r 
+023.02 ; -052.16 ; * ; r 
+023.14 ; -053.61 ; * ; r 
+026.06 ; -052.02 ; * ; r 
+026.77 ; -055.13 ; * ; r 
+028.88 ; -045.10 ; * ; r 
+030.47 ; -052.28 ; * ; r 
+034.53 ; -040.79 ; * ; r 
+037.45 ; -041.16 ; * ; r 
+036.66 ; -045.67 ; * ; r 
+118.04 ; -061.82 ; * ; r 
+031.12 ; -062.70 ; * ; r 
+033.96 ; -048.81 ; * ; r 
+036.17 ; -052.05 ; * ; r 
+036.31 ; -053.87 ; * ; r 
+038.56 ; -061.83 ; * ; r 
+037.61 ; -048.63 ; * ; r 
+034.82 ; -046.30 ; * ; r 
+033.41 ; -052.04 ; * ; r 
+032.62 ; -050.07 ; * ; r 
+040.79 ; -050.70 ; * ; r 
+041.98 ; -044.98 ; * ; r 
+038.83 ; -045.42 ; * ; r 
+038.70 ; -044.84 ; * ; r 
+037.26 ; -047.10 ; * ; r 
+038.95 ; -048.51 ; * ; r 
+041.45 ; -062.21 ; * ; r 
+042.42 ; -063.71 ; * ; r 
+047.56 ; -064.48 ; * ; r 
+038.01 ; -042.64 ; * ; r 
+039.56 ; -043.24 ; * ; r 
+042.01 ; -042.34 ; * ; r 
+056.60 ; -045.42 ; * ; r 
+046.10 ; -038.27 ; * ; r 
+046.19 ; -040.22 ; * ; r 
+045.55 ; -041.51 ; * ; r 
+046.24 ; -040.84 ; * ; r 
+046.07 ; -041.16 ; * ; r 
+046.56 ; -041.74 ; * ; r 
+075.43 ; -035.63 ; * ; r 
+070.04 ; -042.92 ; * ; r 
+068.85 ; -047.99 ; * ; r 
+073.95 ; -042.56 ; * ; r 
+074.01 ; -042.66 ; * ; r 
+068.28 ; -044.83 ; * ; r 
+061.11 ; -048.16 ; * ; r 
+067.56 ; -049.04 ; * ; r 
+075.33 ; -043.46 ; * ; r 
+079.11 ; -044.94 ; * ; r 
